,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21
count,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
mean,102.04935153916668,111.51806891666666,114.12447235916666,108.56220933466669,99.82530679383332,92.81742712099998,1430.9552047533334,962.410535845,804.8981896266666,700.9171125418333,611.1955847415,560.351825406,488.3561284546667,423.9245527543333,375.5662315889999,331.42591973566664,274.82694480683335,231.37237726051666,182.0260530454167,82.55128470898333,38.039544107183325
std,49.29236684977448,56.93554845747778,60.302082935509866,59.00596019724427,55.71551540585156,53.428997720295754,610.283650924796,515.7959317912845,469.3722674988491,430.76571527630415,389.62363196963116,376.2760033156527,339.061986053089,301.2319737006132,272.95863546283937,247.47595159948247,208.23450241812557,179.3375478409972,145.12634629086938,67.53681472230676,30.725113288486938
min,3.14751,2.92416,2.7838,2.3956,1.9882,1.64285,97.5182,25.7483,14.4468,9.43171,6.60564,4.81536,3.45302,2.64196,2.10294,1.52662,1.12637,0.862731,0.579214,0.263058,0.210644
25%,63.57595,66.648025,66.48304999999999,61.771575,55.61315,50.350425,973.49075,566.991,442.1575,365.74350000000004,306.25325,265.42674999999997,221.011,185.6085,159.36525,134.45499999999998,108.1545,88.055525,65.4804,27.6129,13.11215
50%,98.77345,105.772,106.8935,100.719,91.70875,84.26055,1390.4050000000002,885.015,719.707,613.3485000000001,527.6735,471.1615,403.597,346.298,303.404,263.7745,218.02949999999998,181.5965,140.55849999999998,62.92175,29.13525
75%,135.91475,150.90800000000002,154.89775,148.6255,137.27724999999998,128.3785,1837.8449999999998,1286.3999999999999,1096.4975,967.0355,850.952,786.57425,692.9205000000001,605.69925,539.009,479.96175,400.55375,337.52875,267.6875,123.14325,56.193625
max,285.145,324.255,339.532,327.274,310.568,295.241,3616.92,3003.9,2691.9,2410.26,2169.81,2052.54,1809.8,1585.28,1433.02,1265.26,1061.15,904.487,717.644,322.798,147.469
