,A1,A2,T1,T2
count,60016.0,60016.0,60016.0,60016.0
mean,6.0,6.0,1.182056451612903,3.044506048387097
std,3.1623040057860368,3.1623040057860368,1.1416486063265194,1.3951884781184125
min,1.0,1.0,0.05,0.075
25%,3.0,3.0,0.3,2.0
50%,6.0,6.0,0.8,3.2
75%,9.0,9.0,1.8,4.2
max,11.0,11.0,4.8,5.0
